Id,关卡Id,行为Id,行为类型,参数1,参数2,参数3,参数4,参数5,说明,对应地图
1376283,21,27,1,23,0,0,0,0,创建计时器23，用于显示波数(开局行为),11
1376284,21,28,1,24,0,0,0,0,创建计时器24，用于显示波数(开局行为),11
1376285,21,29,1,25,0,0,0,0,创建计时器25，用于显示波数(开局行为),11
1376286,21,30,1,26,0,0,0,0,创建计时器26，用于显示波数(开局行为),11
1376287,21,31,1,27,0,0,0,0,创建计时器27，用于显示波数(开局行为),11
1376288,21,32,1,28,0,0,0,0,创建计时器28，用于显示波数(开局行为),11
1376289,21,33,1,29,0,0,0,0,创建计时器29，用于显示波数(开局行为),11
1376290,21,34,1,30,0,0,0,0,创建计时器30，用于显示波数(开局行为),11
1376291,21,35,1,31,0,0,0,0,创建计时器31，用于激活出生点(开局行为),11
1376292,21,36,1,32,0,0,0,0,创建计时器32，用于激活出生点(开局行为),11
1376293,21,37,1,33,0,0,0,0,创建计时器33，用于激活出生点(开局行为),11
1376294,21,38,1,34,0,0,0,0,创建计时器34，用于激活出生点(开局行为),11
1376295,21,39,1,35,0,0,0,0,创建计时器35，用于激活出生点(开局行为),11
1376296,21,40,1,36,0,0,0,0,创建计时器36，用于激活出生点(开局行为),11
1376297,21,41,1,37,0,0,0,0,创建计时器37，用于激活出生点(开局行为),11
1376298,21,42,1,38,0,0,0,0,创建计时器38，用于激活出生点(开局行为),11
1376299,21,43,1,39,0,0,0,0,创建计时器39，用于激活出生点(开局行为),11
1376300,21,44,1,40,0,0,0,0,创建计时器40，用于激活出生点(开局行为),11
1376301,21,45,1,41,0,0,0,0,创建计时器41，用于激活出生点(开局行为),11
1376302,21,46,1,42,0,0,0,0,创建计时器42，用于激活出生点(开局行为),11
1376303,21,47,1,43,0,0,0,0,创建计时器43，用于激活出生点(开局行为),11
1376304,21,48,1,44,0,0,0,0,创建计时器44，用于激活出生点(开局行为),11
1376305,21,49,1,45,0,0,0,0,创建计时器45，用于激活出生点(开局行为),11
1376306,21,50,1,46,0,0,0,0,创建计时器46，用于激活出生点(开局行为),11
1376307,21,51,1,47,0,0,0,0,创建计时器47，用于激活出生点(开局行为),11
1376308,21,52,1,48,0,0,0,0,创建计时器48，用于激活出生点(开局行为),11
1376309,21,53,1,49,0,0,0,0,创建计时器49，用于激活出生点(开局行为),11
1376310,21,54,1,50,0,0,0,0,创建计时器50，用于激活出生点(开局行为),11
1376311,21,55,1,51,0,0,0,0,创建计时器51，用于激活出生点(开局行为),11
1376312,21,56,1,52,0,0,0,0,创建计时器52，用于激活出生点(开局行为),11
1376313,21,57,1,53,0,0,0,0,创建计时器53，用于激活出生点(开局行为),11
1376314,21,58,1,54,0,0,0,0,创建计时器54，用于激活出生点(开局行为),11
1376315,21,59,1,55,0,0,0,0,创建计时器55，用于激活出生点(开局行为),11
1376316,21,60,1,56,0,0,0,0,创建计时器56，用于激活出生点(开局行为),11
1376317,21,61,1,57,0,0,0,0,创建计时器57，用于激活出生点(开局行为),11
1376318,21,62,1,58,0,0,0,0,创建计时器58，用于激活出生点(开局行为),11
1376319,21,63,1,59,0,0,0,0,创建计时器59，用于激活出生点(开局行为),11
1376320,21,64,1,60,0,0,0,0,创建计时器60，用于激活出生点(开局行为),11
1376321,21,65,10,1,0,0,0,0,开局倒计时信息(开局行为),11
1376322,21,66,3,1,0,0,0,0,创建计数器1，清空敌人,11
1376323,21,67,7,0,0,0,0,0,副本开始计时,11
1376324,21,68,2,101,0,0,0,0,计时器101开始计时,11
1376325,21,69,11,26,0,0,0,0,任务目标：幸存,11
1376326,21,70,2,1,0,0,0,0,计时器1开始计时,11
1376327,21,71,11,27,0,0,0,0,第1波,11
1376328,21,72,2,31,0,0,0,0,计时器31开始计时,11
1376329,21,73,21,0,0,0,0,0,激活第1组出生点,11
1376330,21,74,11,61,0,0,0,0,第1波结束,11
1376331,21,75,2,2,0,0,0,0,计时器2开始计时,11
1376332,21,76,11,28,0,0,0,0,第2波,11
1376333,21,77,2,32,0,0,0,0,计时器32开始计时,11
1376334,21,78,21,0,0,0,0,0,激活第2组出生点,11
1376335,21,79,11,62,0,0,0,0,第2波结束,11
1376336,21,80,2,3,0,0,0,0,计时器3开始计时,11
1376337,21,81,11,29,0,0,0,0,第3波,11
1376338,21,82,2,33,0,0,0,0,计时器33开始计时,11
1376339,21,83,21,0,0,0,0,0,激活第3组出生点,11
1376340,21,84,11,63,0,0,0,0,第3波结束,11
1376341,21,85,2,4,0,0,0,0,计时器4开始计时,11
1376342,21,86,11,30,0,0,0,0,第4波,11
1376343,21,87,2,34,0,0,0,0,计时器34开始计时,11
1376344,21,88,21,0,0,0,0,0,激活第4组出生点,11
1376345,21,89,11,64,0,0,0,0,第4波结束,11
1376346,21,90,2,5,0,0,0,0,计时器5开始计时,11
1376347,21,91,11,31,0,0,0,0,第5波,11
1376348,21,92,2,35,0,0,0,0,计时器35开始计时,11
1376349,21,93,21,0,0,0,0,0,激活第5组出生点,11
1376350,21,94,11,65,0,0,0,0,第5波结束,11
1376351,21,95,2,6,0,0,0,0,计时器6开始计时,11
1376352,21,96,11,32,0,0,0,0,第6波,11
1376353,21,97,2,36,0,0,0,0,计时器36开始计时,11
1376354,21,98,21,0,0,0,0,0,激活第6组出生点,11
1376355,21,99,11,66,0,0,0,0,第6波结束,11
1376356,21,100,2,7,0,0,0,0,计时器7开始计时,11
1376357,21,101,11,33,0,0,0,0,第7波,11
1376358,21,102,2,37,0,0,0,0,计时器37开始计时,11
1376359,21,103,21,0,0,0,0,0,激活第7组出生点,11
1376360,21,104,11,67,0,0,0,0,第7波结束,11
1376361,21,105,2,8,0,0,0,0,计时器8开始计时,11
1376362,21,106,11,34,0,0,0,0,第8波,11
1376363,21,107,2,38,0,0,0,0,计时器38开始计时,11
1376364,21,108,21,0,0,0,0,0,激活第8组出生点,11
1376365,21,109,11,68,0,0,0,0,第8波结束,11
1376366,21,110,2,9,0,0,0,0,计时器9开始计时,11
1376367,21,111,11,35,0,0,0,0,第9波,11
1376368,21,112,2,39,0,0,0,0,计时器39开始计时,11
1376369,21,113,21,0,0,0,0,0,激活第9组出生点,11
1376370,21,114,11,69,0,0,0,0,第9波结束,11
1376371,21,115,2,10,0,0,0,0,计时器10开始计时,11
1376372,21,116,11,36,0,0,0,0,第10波,11
1376373,21,117,2,40,0,0,0,0,计时器40开始计时,11
1376374,21,118,21,0,0,0,0,0,激活第10组出生点,11
1376375,21,119,11,70,0,0,0,0,第10波结束,11
1376376,21,120,2,11,0,0,0,0,计时器11开始计时,11
1376377,21,121,11,37,0,0,0,0,第11波,11
1376378,21,122,2,41,0,0,0,0,计时器41开始计时,11
1376379,21,123,21,0,0,0,0,0,激活第11组出生点,11
1376380,21,124,11,71,0,0,0,0,第11波结束,11
1376381,21,125,2,12,0,0,0,0,计时器12开始计时,11
1376382,21,126,11,38,0,0,0,0,第12波,11
1376383,21,127,2,42,0,0,0,0,计时器42开始计时,11
1376384,21,128,21,0,0,0,0,0,激活第12组出生点,11
1376385,21,129,11,72,0,0,0,0,第12波结束,11
1376386,21,130,2,13,0,0,0,0,计时器13开始计时,11
1376387,21,131,11,39,0,0,0,0,第13波,11
1376388,21,132,2,43,0,0,0,0,计时器43开始计时,11
1376389,21,133,21,0,0,0,0,0,激活第13组出生点,11
1376390,21,134,11,73,0,0,0,0,第13波结束,11
1376391,21,135,2,14,0,0,0,0,计时器14开始计时,11
1376392,21,136,11,40,0,0,0,0,第14波,11
1376393,21,137,2,44,0,0,0,0,计时器44开始计时,11
1376394,21,138,21,0,0,0,0,0,激活第14组出生点,11
1376395,21,139,11,74,0,0,0,0,第14波结束,11
1376396,21,140,2,15,0,0,0,0,计时器15开始计时,11
1376397,21,141,11,41,0,0,0,0,第15波,11
1376398,21,142,2,45,0,0,0,0,计时器45开始计时,11
1376399,21,143,21,0,0,0,0,0,激活第15组出生点,11
1376400,21,144,11,75,0,0,0,0,第15波结束,11
1376401,21,145,2,16,0,0,0,0,计时器16开始计时,11
1376402,21,146,11,42,0,0,0,0,第16波,11
1376403,21,147,2,46,0,0,0,0,计时器46开始计时,11
1376404,21,148,21,0,0,0,0,0,激活第16组出生点,11
1376405,21,149,11,76,0,0,0,0,第16波结束,11
1376406,21,150,2,17,0,0,0,0,计时器17开始计时,11
1376407,21,151,11,43,0,0,0,0,第17波,11
1376408,21,152,2,47,0,0,0,0,计时器47开始计时,11
1376409,21,153,21,0,0,0,0,0,激活第17组出生点,11
1376410,21,154,11,77,0,0,0,0,第17波结束,11
1376411,21,155,2,18,0,0,0,0,计时器18开始计时,11
1376412,21,156,11,44,0,0,0,0,第18波,11
1376413,21,157,2,48,0,0,0,0,计时器48开始计时,11
1376414,21,158,21,0,0,0,0,0,激活第18组出生点,11
1376415,21,159,11,78,0,0,0,0,第18波结束,11
1376416,21,160,2,19,0,0,0,0,计时器19开始计时,11
1376417,21,161,11,45,0,0,0,0,第19波,11
1376418,21,162,2,49,0,0,0,0,计时器49开始计时,11
1376419,21,163,21,0,0,0,0,0,激活第19组出生点,11
1376420,21,164,11,79,0,0,0,0,第19波结束,11
1376421,21,165,2,20,0,0,0,0,计时器20开始计时,11
1376422,21,166,11,46,0,0,0,0,第20波,11
1376423,21,167,2,50,0,0,0,0,计时器50开始计时,11
1376424,21,168,21,0,0,0,0,0,激活第20组出生点,11
1376425,21,169,11,80,0,0,0,0,第20波结束,11
1376426,21,170,2,21,0,0,0,0,计时器21开始计时,11
1376427,21,171,11,47,0,0,0,0,第21波,11
1376428,21,172,2,51,0,0,0,0,计时器51开始计时,11
1376429,21,173,21,0,0,0,0,0,激活第21组出生点,11
1376430,21,174,11,81,0,0,0,0,第21波结束,11
1376431,21,175,2,22,0,0,0,0,计时器22开始计时,11
1376432,21,176,11,48,0,0,0,0,第22波,11
1376433,21,177,2,52,0,0,0,0,计时器52开始计时,11
1376434,21,178,21,0,0,0,0,0,激活第22组出生点,11
1376435,21,179,11,82,0,0,0,0,第22波结束,11
1376436,21,180,2,23,0,0,0,0,计时器23开始计时,11
1376437,21,181,11,49,0,0,0,0,第23波,11
1376438,21,182,2,53,0,0,0,0,计时器53开始计时,11
1376439,21,183,21,0,0,0,0,0,激活第23组出生点,11
1376440,21,184,11,83,0,0,0,0,第23波结束,11
1376441,21,185,2,24,0,0,0,0,计时器24开始计时,11
1376442,21,186,11,50,0,0,0,0,第24波,11
1376443,21,187,2,54,0,0,0,0,计时器54开始计时,11
1376444,21,188,21,0,0,0,0,0,激活第24组出生点,11
1376445,21,189,11,84,0,0,0,0,第24波结束,11
1376446,21,190,2,25,0,0,0,0,计时器25开始计时,11
1376447,21,191,11,51,0,0,0,0,第25波,11
1376448,21,192,2,55,0,0,0,0,计时器55开始计时,11
1376449,21,193,21,0,0,0,0,0,激活第25组出生点,11
1376450,21,194,11,85,0,0,0,0,第25波结束,11
1376451,21,195,2,26,0,0,0,0,计时器26开始计时,11
1376452,21,196,11,52,0,0,0,0,第26波,11
1376453,21,197,2,56,0,0,0,0,计时器56开始计时,11
1376454,21,198,21,0,0,0,0,0,激活第26组出生点,11
1376455,21,199,11,86,0,0,0,0,第26波结束,11
1376456,21,200,2,27,0,0,0,0,计时器27开始计时,11
1376457,21,201,11,53,0,0,0,0,第27波,11
1376458,21,202,2,57,0,0,0,0,计时器57开始计时,11
1376459,21,203,21,0,0,0,0,0,激活第27组出生点,11
1376460,21,204,11,87,0,0,0,0,第27波结束,11
1376461,21,205,2,28,0,0,0,0,计时器28开始计时,11
1376462,21,206,11,54,0,0,0,0,第28波,11
1376463,21,207,2,58,0,0,0,0,计时器58开始计时,11
1376464,21,208,21,0,0,0,0,0,激活第28组出生点,11
1376465,21,209,11,88,0,0,0,0,第28波结束,11
1376466,21,210,2,29,0,0,0,0,计时器29开始计时,11
1376467,21,211,11,55,0,0,0,0,第29波,11
1376468,21,212,2,59,0,0,0,0,计时器59开始计时,11
1376469,21,213,21,0,0,0,0,0,激活第29组出生点,11
1376470,21,214,11,89,0,0,0,0,第29波结束,11
1376471,21,215,2,30,0,0,0,0,计时器30开始计时,11
1376472,21,216,11,56,0,0,0,0,第30波,11
1376473,21,217,2,60,0,0,0,0,计时器60开始计时,11
1376474,21,218,21,0,0,0,0,0,激活第30组出生点,11
1376475,21,219,11,90,0,0,0,0,第30波结束,11
1376476,21,220,12,0,0,0,0,0,副本停止计时,11
1376477,21,221,2,102,0,0,0,0,计时器102开始计时,11
1376478,21,222,11,15,0,0,0,0,显示计时器102计时,11
1376479,21,223,9,0,0,0,0,0,副本结束,11
1376480,21,224,23,21,0,0,0,0,奖励200币,11
1376481,21,225,23,22,0,0,0,0,奖励500币,11
1376482,21,226,23,23,0,0,0,0,奖励1000币,11
1376483,21,227,23,24,0,0,0,0,奖励1500币,11
1376484,21,228,23,25,0,0,0,0,奖励2000币,11
1376485,21,229,23,26,0,0,0,0,奖励2500币,11
1376486,21,230,23,27,0,0,0,0,奖励3000币,11
1376487,21,231,23,28,0,0,0,0,奖励3500币,11
1376488,21,232,23,29,0,0,0,0,奖励4000币,11
1376489,21,233,23,30,0,0,0,0,奖励4500币,11
1376490,21,234,23,31,0,0,0,0,奖励5000币,11
1376491,21,235,23,32,0,0,0,0,奖励5500币,11
1376492,21,236,23,33,0,0,0,0,奖励6000币,11
1376493,21,237,23,34,0,0,0,0,奖励6500币,11
1376494,21,238,23,35,0,0,0,0,奖励7000币,11
1376495,21,239,0,1,-1,0,0,0,激活自动炮（开局行为）,11
1441793,22,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),11
1441794,22,2,2,100,0,0,0,0,计时器100开始计时(开局行为),11
1441795,22,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),11
1441796,22,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),11
1441797,22,5,1,1,0,0,0,0,创建计时器1，用于显示波数(开局行为),11
1441798,22,6,1,2,0,0,0,0,创建计时器2，用于显示波数(开局行为),11
1441799,22,7,1,3,0,0,0,0,创建计时器3，用于显示波数(开局行为),11
1441800,22,8,1,4,0,0,0,0,创建计时器4，用于显示波数(开局行为),11
1441801,22,9,1,5,0,0,0,0,创建计时器5，用于显示波数(开局行为),11
1441802,22,10,1,6,0,0,0,0,创建计时器6，用于显示波数(开局行为),11
1441803,22,11,1,7,0,0,0,0,创建计时器7，用于显示波数(开局行为),11
1441804,22,12,1,8,0,0,0,0,创建计时器8，用于显示波数(开局行为),11
1441805,22,13,1,9,0,0,0,0,创建计时器9，用于显示波数(开局行为),11
1441806,22,14,1,10,0,0,0,0,创建计时器10，用于显示波数(开局行为),11
1441807,22,15,1,11,0,0,0,0,创建计时器11，用于显示波数(开局行为),11
1441808,22,16,1,12,0,0,0,0,创建计时器12，用于显示波数(开局行为),11
1441809,22,17,1,13,0,0,0,0,创建计时器13，用于显示波数(开局行为),11
1441810,22,18,1,14,0,0,0,0,创建计时器14，用于显示波数(开局行为),11
1441811,22,19,1,15,0,0,0,0,创建计时器15，用于显示波数(开局行为),11
1441812,22,20,1,16,0,0,0,0,创建计时器16，用于显示波数(开局行为),11
1441813,22,21,1,17,0,0,0,0,创建计时器17，用于显示波数(开局行为),11
1441814,22,22,1,18,0,0,0,0,创建计时器18，用于显示波数(开局行为),11
1441815,22,23,1,19,0,0,0,0,创建计时器19，用于显示波数(开局行为),11
1441816,22,24,1,20,0,0,0,0,创建计时器20，用于显示波数(开局行为),11
1441817,22,25,1,21,0,0,0,0,创建计时器21，用于激活出生点(开局行为),11
1441818,22,26,1,22,0,0,0,0,创建计时器22，用于激活出生点(开局行为),11
1441819,22,27,1,23,0,0,0,0,创建计时器23，用于激活出生点(开局行为),11
1441820,22,28,1,24,0,0,0,0,创建计时器24，用于激活出生点(开局行为),11
1441821,22,29,1,25,0,0,0,0,创建计时器25，用于激活出生点(开局行为),11
1441822,22,30,1,26,0,0,0,0,创建计时器26，用于激活出生点(开局行为),11
1441823,22,31,1,27,0,0,0,0,创建计时器27，用于激活出生点(开局行为),11
1441824,22,32,1,28,0,0,0,0,创建计时器28，用于激活出生点(开局行为),11
1441825,22,33,1,29,0,0,0,0,创建计时器29，用于激活出生点(开局行为),11
1441826,22,34,1,30,0,0,0,0,创建计时器30，用于激活出生点(开局行为),11
1441827,22,35,1,31,0,0,0,0,创建计时器31，用于激活出生点(开局行为),11
1441828,22,36,1,32,0,0,0,0,创建计时器32，用于激活出生点(开局行为),11
1441829,22,37,1,33,0,0,0,0,创建计时器33，用于激活出生点(开局行为),11
1441830,22,38,1,34,0,0,0,0,创建计时器34，用于激活出生点(开局行为),11
1441831,22,39,1,35,0,0,0,0,创建计时器35，用于激活出生点(开局行为),11
1441832,22,40,1,36,0,0,0,0,创建计时器36，用于激活出生点(开局行为),11
1441833,22,41,1,37,0,0,0,0,创建计时器37，用于激活出生点(开局行为),11
1441834,22,42,1,38,0,0,0,0,创建计时器38，用于激活出生点(开局行为),11
1441835,22,43,1,39,0,0,0,0,创建计时器39，用于激活出生点(开局行为),11
1441836,22,44,1,40,0,0,0,0,创建计时器40，用于激活出生点(开局行为),11
1441837,22,45,10,1,0,0,0,0,开局倒计时信息(开局行为),11
1441838,22,46,3,1,0,0,0,0,创建计数器1，清空敌人,11
1441839,22,47,7,0,0,0,0,0,副本开始计时,11
1441840,22,48,2,101,0,0,0,0,计时器101开始计时,11
1441841,22,49,11,26,0,0,0,0,任务目标：幸存,11
1441842,22,50,2,1,0,0,0,0,计时器1开始计时,11
1441843,22,51,11,27,0,0,0,0,第1波,11
1441844,22,52,2,21,0,0,0,0,计时器31开始计时,11
1441845,22,53,21,0,0,0,0,0,激活第1组出生点,11
1441846,22,54,11,61,0,0,0,0,第1波结束,11
1441847,22,55,2,2,0,0,0,0,计时器2开始计时,11
1441848,22,56,11,28,0,0,0,0,第2波,11
1441849,22,57,2,22,0,0,0,0,计时器32开始计时,11
1441850,22,58,21,0,0,0,0,0,激活第2组出生点,11
1441851,22,59,11,62,0,0,0,0,第2波结束,11
1441852,22,60,2,3,0,0,0,0,计时器3开始计时,11
1441853,22,61,11,29,0,0,0,0,第3波,11
1441854,22,62,2,23,0,0,0,0,计时器33开始计时,11
1441855,22,63,21,0,0,0,0,0,激活第3组出生点,11
1441856,22,64,11,63,0,0,0,0,第3波结束,11
1441857,22,65,2,4,0,0,0,0,计时器4开始计时,11
1441858,22,66,11,30,0,0,0,0,第4波,11
1441859,22,67,2,24,0,0,0,0,计时器34开始计时,11
1441860,22,68,21,0,0,0,0,0,激活第4组出生点,11
1441861,22,69,11,64,0,0,0,0,第4波结束,11
1441862,22,70,2,5,0,0,0,0,计时器5开始计时,11
1441863,22,71,11,31,0,0,0,0,第5波,11
1441864,22,72,2,25,0,0,0,0,计时器35开始计时,11
1441865,22,73,21,0,0,0,0,0,激活第5组出生点,11
1441866,22,74,11,65,0,0,0,0,第5波结束,11
1441867,22,75,2,6,0,0,0,0,计时器6开始计时,11
1441868,22,76,11,32,0,0,0,0,第6波,11
1441869,22,77,2,26,0,0,0,0,计时器36开始计时,11
1441870,22,78,21,0,0,0,0,0,激活第6组出生点,11
1441871,22,79,11,66,0,0,0,0,第6波结束,11
1441872,22,80,2,7,0,0,0,0,计时器7开始计时,11
1441873,22,81,11,33,0,0,0,0,第7波,11
1441874,22,82,2,27,0,0,0,0,计时器37开始计时,11
1441875,22,83,21,0,0,0,0,0,激活第7组出生点,11
1441876,22,84,11,67,0,0,0,0,第7波结束,11
1441877,22,85,2,8,0,0,0,0,计时器8开始计时,11
1441878,22,86,11,34,0,0,0,0,第8波,11
1441879,22,87,2,28,0,0,0,0,计时器38开始计时,11
1441880,22,88,21,0,0,0,0,0,激活第8组出生点,11
1441881,22,89,11,68,0,0,0,0,第8波结束,11
1441882,22,90,2,9,0,0,0,0,计时器9开始计时,11
1441883,22,91,11,35,0,0,0,0,第9波,11
1441884,22,92,2,29,0,0,0,0,计时器39开始计时,11
1441885,22,93,21,0,0,0,0,0,激活第9组出生点,11
1441886,22,94,11,69,0,0,0,0,第9波结束,11
1441887,22,95,2,10,0,0,0,0,计时器10开始计时,11
1441888,22,96,11,36,0,0,0,0,第10波,11
1441889,22,97,2,30,0,0,0,0,计时器40开始计时,11
1441890,22,98,21,0,0,0,0,0,激活第10组出生点,11
1441891,22,99,11,70,0,0,0,0,第10波结束,11
1441892,22,100,2,11,0,0,0,0,计时器11开始计时,11
1441893,22,101,11,37,0,0,0,0,第11波,11
1441894,22,102,2,31,0,0,0,0,计时器41开始计时,11
1441895,22,103,21,0,0,0,0,0,激活第11组出生点,11
1441896,22,104,11,71,0,0,0,0,第11波结束,11
1441897,22,105,2,12,0,0,0,0,计时器12开始计时,11
1441898,22,106,11,38,0,0,0,0,第12波,11
1441899,22,107,2,32,0,0,0,0,计时器42开始计时,11
1441900,22,108,21,0,0,0,0,0,激活第12组出生点,11
1441901,22,109,11,72,0,0,0,0,第12波结束,11
1441902,22,110,2,13,0,0,0,0,计时器13开始计时,11
1441903,22,111,11,39,0,0,0,0,第13波,11
1441904,22,112,2,33,0,0,0,0,计时器43开始计时,11
1441905,22,113,21,0,0,0,0,0,激活第13组出生点,11
1441906,22,114,11,73,0,0,0,0,第13波结束,11
1441907,22,115,2,14,0,0,0,0,计时器14开始计时,11
1441908,22,116,11,40,0,0,0,0,第14波,11
1441909,22,117,2,34,0,0,0,0,计时器44开始计时,11
1441910,22,118,21,0,0,0,0,0,激活第14组出生点,11
1441911,22,119,11,74,0,0,0,0,第14波结束,11
1441912,22,120,2,15,0,0,0,0,计时器15开始计时,11
1441913,22,121,11,41,0,0,0,0,第15波,11
1441914,22,122,2,35,0,0,0,0,计时器45开始计时,11
1441915,22,123,21,0,0,0,0,0,激活第15组出生点,11
1441916,22,124,11,75,0,0,0,0,第15波结束,11
1441917,22,125,2,16,0,0,0,0,计时器16开始计时,11
1441918,22,126,11,42,0,0,0,0,第16波,11
1441919,22,127,2,36,0,0,0,0,计时器46开始计时,11
1441920,22,128,21,0,0,0,0,0,激活第16组出生点,11
1441921,22,129,11,76,0,0,0,0,第16波结束,11
1441922,22,130,2,17,0,0,0,0,计时器17开始计时,11
1441923,22,131,11,43,0,0,0,0,第17波,11
1441924,22,132,2,37,0,0,0,0,计时器47开始计时,11
1441925,22,133,21,0,0,0,0,0,激活第17组出生点,11
1441926,22,134,11,77,0,0,0,0,第17波结束,11
1441927,22,135,2,18,0,0,0,0,计时器18开始计时,11
1441928,22,136,11,44,0,0,0,0,第18波,11
1441929,22,137,2,38,0,0,0,0,计时器48开始计时,11
1441930,22,138,21,0,0,0,0,0,激活第18组出生点,11
1441931,22,139,11,78,0,0,0,0,第18波结束,11
1441932,22,140,2,19,0,0,0,0,计时器19开始计时,11
1441933,22,141,11,45,0,0,0,0,第19波,11
1441934,22,142,2,39,0,0,0,0,计时器49开始计时,11
1441935,22,143,21,0,0,0,0,0,激活第19组出生点,11
1441936,22,144,11,79,0,0,0,0,第19波结束,11
1441937,22,145,2,20,0,0,0,0,计时器20开始计时,11
1441938,22,146,11,138,0,0,0,0,第20波,11
1441939,22,147,2,40,0,0,0,0,计时器50开始计时,11
1441940,22,148,21,0,0,0,0,0,激活第20组出生点,11
1441941,22,149,11,80,0,0,0,0,第20波结束,11
1441942,22,150,12,0,0,0,0,0,副本停止计时,11
1441943,22,151,2,102,0,0,0,0,计时器102开始计时,11
1441944,22,152,11,15,0,0,0,0,显示计时器102计时,11
1441945,22,153,14,0,0,0,0,0,副本结束,11
1441946,22,154,23,21,0,0,0,0,奖励500币,11
1441947,22,155,23,22,0,0,0,0,奖励750币,11
1441948,22,156,23,23,0,0,0,0,奖励1000币,11
1441949,22,157,23,24,0,0,0,0,奖励1250币,11
1441950,22,158,23,25,0,0,0,0,奖励1500币,11
1441951,22,159,23,26,0,0,0,0,奖励1750币,11
1441952,22,160,23,27,0,0,0,0,奖励2000币,11
1441953,22,161,23,28,0,0,0,0,奖励2250币,11
1441954,22,162,23,29,0,0,0,0,奖励2500币,11
1441955,22,163,23,30,0,0,0,0,奖励2750币,11
1441956,22,164,23,31,0,0,0,0,奖励3000币,11
1441957,22,165,23,32,0,0,0,0,奖励3250币,11
1441958,22,166,23,33,0,0,0,0,奖励3500币,11
1441959,22,167,23,34,0,0,0,0,奖励3750币,11
1441960,22,168,23,35,0,0,0,0,奖励4000币,11
1441961,22,169,6,1,0,2,0,0,区域A大门,11
1441962,22,170,6,2,0,2,0,0,区域B大门,11
1441963,22,171,6,3,0,2,0,0,区域C大门,11
1441964,22,172,6,4,0,2,0,0,区域D大门,11
1441965,22,173,0,1,0,0,0,0,激活障碍NPC自动炮出生点,11
1441966,22,174,11,12,0,0,0,0,前往下个区域,11
1441967,22,175,0,2,0,0,0,0,激活障碍NPC自动炮出生点2,11
1441968,22,176,0,3,0,0,0,0,激活障碍NPC自动炮出生点3,11
1507329,23,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),11
1507330,23,2,2,100,0,0,0,0,计时器100开始计时(开局行为),11
1507331,23,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),11
1507332,23,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),11
1507333,23,5,1,1,0,0,0,0,创建计时器1，用于显示波数(开局行为),11
1507334,23,6,1,2,0,0,0,0,创建计时器2，用于显示波数(开局行为),11
1507335,23,7,1,3,0,0,0,0,创建计时器3，用于显示波数(开局行为),11
1507336,23,8,1,4,0,0,0,0,创建计时器4，用于显示波数(开局行为),11
1507337,23,9,1,5,0,0,0,0,创建计时器5，用于显示波数(开局行为),11
1507338,23,10,1,6,0,0,0,0,创建计时器6，用于显示波数(开局行为),11
1507339,23,11,1,7,0,0,0,0,创建计时器7，用于显示波数(开局行为),11
1507340,23,12,1,8,0,0,0,0,创建计时器8，用于显示波数(开局行为),11
1507341,23,13,1,9,0,0,0,0,创建计时器9，用于显示波数(开局行为),11
1507342,23,14,1,10,0,0,0,0,创建计时器10，用于显示波数(开局行为),11
1507343,23,15,1,11,0,0,0,0,创建计时器11，用于显示波数(开局行为),11
1507344,23,16,1,12,0,0,0,0,创建计时器12，用于显示波数(开局行为),11
1507345,23,17,1,13,0,0,0,0,创建计时器13，用于显示波数(开局行为),11
1507346,23,18,1,14,0,0,0,0,创建计时器14，用于显示波数(开局行为),11
1507347,23,19,1,15,0,0,0,0,创建计时器15，用于显示波数(开局行为),11
1507348,23,20,1,16,0,0,0,0,创建计时器16，用于显示波数(开局行为),11
1507349,23,21,1,17,0,0,0,0,创建计时器17，用于显示波数(开局行为),11
1507350,23,22,1,18,0,0,0,0,创建计时器18，用于显示波数(开局行为),11
1507351,23,23,1,19,0,0,0,0,创建计时器19，用于显示波数(开局行为),11
1507352,23,24,1,20,0,0,0,0,创建计时器20，用于显示波数(开局行为),11
1507353,23,25,1,21,0,0,0,0,创建计时器21，用于激活出生点(开局行为),11
1507354,23,26,1,22,0,0,0,0,创建计时器22，用于激活出生点(开局行为),11
1507355,23,27,1,23,0,0,0,0,创建计时器23，用于激活出生点(开局行为),11
1507356,23,28,1,24,0,0,0,0,创建计时器24，用于激活出生点(开局行为),11
1507357,23,29,1,25,0,0,0,0,创建计时器25，用于激活出生点(开局行为),11
1507358,23,30,1,26,0,0,0,0,创建计时器26，用于激活出生点(开局行为),11
1507359,23,31,1,27,0,0,0,0,创建计时器27，用于激活出生点(开局行为),11
1507360,23,32,1,28,0,0,0,0,创建计时器28，用于激活出生点(开局行为),11
1507361,23,33,1,29,0,0,0,0,创建计时器29，用于激活出生点(开局行为),11
1507362,23,34,1,30,0,0,0,0,创建计时器30，用于激活出生点(开局行为),11
1507363,23,35,1,31,0,0,0,0,创建计时器31，用于激活出生点(开局行为),11
